item_id,source_path,destination_path,action,reason,checksum_sha256,collision,content_edit_needed,approval_required
ITM-001,".DS_Store","(unchanged, git-ignored)",KEEP,"OS artifact",09c9b2406a63d676e6c442476c2588b3d765bd33c1fe98a203c8a6e85515e73d,No,No,No
ITM-002,"00_START/.DS_Store","(unchanged, git-ignored)",KEEP,"OS artifact",65dffba0709a93c6bc580b85de2d1bed753855f6a45bcea6d1f6f5b13abe501c,No,No,No
ITM-003,"00_START/00_PROJECT_OVERVIEW.md","00_GOVERNANCE/PROJECT_OVERVIEW.md",MOVE,"Direct mapping per architecture Sec.11",e4413de0ead228f99fcd03c12a7963d68dd25c8361d377fb5b70fb8f64bcd45c,No,No,Yes
ITM-004,"00_START/01_BUSINESS/.DS_Store","(unchanged, git-ignored)",KEEP,"OS artifact",099892ba781c5248923ff387f9abbf7a8eeea387137fba04a4aadf873a569934,No,No,No
ITM-005,"00_START/01_BUSINESS/00_COMPANY_PROFILE.md","01_BUSINESS/COMPANY_PROFILE.md",MOVE,"Canonical per decision 1 (CNF-01)",6a7e6fa9b1f1d0ba6b99e87e1d39d34468583e803c7b366e9462f982ce476834,Yes,No,Yes
ITM-006,"00_START/01_BUSINESS/01_VISION.md","01_BUSINESS/VISION.md",MOVE,"Direct mapping",ad08887d5e2e7950b5bd91e9ec77e6cb4a5a8cd63880b8b0744cc8effc9f6f63,No,No,Yes
ITM-007,"00_START/01_BUSINESS/02_BRAND/.DS_Store","(unchanged, git-ignored)",KEEP,"OS artifact",7f8ecf63d2c66acdfe0c6d06b4268c9ef3b7fb589444984b4271e892cc55b6bc,No,No,No
ITM-008,"00_START/01_BUSINESS/02_BRAND/00_BRAND_IDENTITY.md","02_BRAND/BRAND_IDENTITY.md",MOVE,"Direct mapping",82807b0c996446db7ad76299fb7be8a5bec027fc37b8ba2d3913cf96d72f1fde,No,No,Yes
ITM-009,"00_START/01_BUSINESS/02_BRAND/01_BRAND_COLORS.md","02_BRAND/BRAND_COLORS.md",MOVE,"Direct mapping",a5a8ca108988d6a918ad8a06411a202a6090e37a9c19a70d7eaa0c57098a5b0e,No,No,Yes
ITM-010,"00_START/01_BUSINESS/02_BRAND/02_TYPOGRAPHY.md","02_BRAND/TYPOGRAPHY.md",MOVE,"Direct mapping; distinct from design-system TYPOGRAPHY.md",d86ee8883669daf4b8e1ef13631dcd363dbc88b6eafbbf1f7587f7d220876bc3,No,No,Yes
ITM-011,"00_START/01_BUSINESS/02_BRAND/03_LOGO_GUIDELINES.md","02_BRAND/LOGO_GUIDELINES.md",MOVE,"Direct mapping",bd05ba7890ecbf94e8c597236b532c2cbc45c33940e100906a205015163309c4,No,No,Yes
ITM-012,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/.DS_Store","(unchanged, git-ignored)",KEEP,"OS artifact",49c9083a46febeec3b18f069856e81020e50966106caba1929bf74faa531fe2b,No,No,No
ITM-013,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/00_MARKET_OVERVIEW.md","03_MARKET/MARKET_OVERVIEW.md",MOVE,"Direct mapping",957fa27cde55e08fe8c5a2c1be0516967668ca2bd41f95892f60b94745103cc0,No,No,Yes
ITM-014,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/01_UAE_MARKET_ANALYSIS.md","03_MARKET/UAE_MARKET_ANALYSIS.md",MOVE,"Direct mapping",a59bbc5496b2b9d01ea4770b48071a429f814d45154017a640f0f4f016cc883d,No,No,Yes
ITM-015,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/02_CUSTOMER_ANALYSIS.md","03_MARKET/CUSTOMER_ANALYSIS.md",MOVE,"Direct mapping",3fe7a145df4f6c8140ef0aa7b9d186fca12a44dfe7d3da41932a8a85229cbb12,No,No,Yes
ITM-016,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/03_MARKET_TRENDS.md","03_MARKET/MARKET_TRENDS.md",MOVE,"Direct mapping",c21d81da59c0910a514892caaffd5b969fb629a2ef526eed9772004415df176e,No,No,Yes
ITM-017,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_MARKET_OPPORTUNITIES.md","03_MARKET/MARKET_OPPORTUNITIES.md",MOVE,"Direct mapping",8ad6ed7d369109712073a9d4b28641c8fd9a4296c591d8d18671779b38c1c738,No,No,Yes
ITM-018,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/00_SERVICES_OVERVIEW.md","98_LEGACY_ARCHIVE",ARCHIVE,"Superseded input per decision 5 (CNF-05); source for future SERVICE_CATALOG.md",0c72c82e7438995cc76baf334d2ba887d65dc00dd890bb9647493b31047f11f7,Yes,No,Yes
ITM-019,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/01_AC_MAINTENANCE.md","04_SERVICE_KNOWLEDGE/ (package ID pending)",HOLD,"In scope per decision 5; folder-numbering convention not yet set",b3c13f587fe2ee14b3237b2a6884c8554188368fdb42ce3746c0c20463beaf08,No,Unknown,Yes
ITM-020,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/02_CLEANING_SERVICES.md","04_SERVICE_KNOWLEDGE/ (package ID pending)",HOLD,"In scope per decision 5; folder-numbering convention not yet set",24b07a86f7aa50ff65bf730976050306c29e91ad8fd3e04805fd2d12498237cd,No,Unknown,Yes
ITM-021,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/03_PEST_CONTROL.md","98_LEGACY_ARCHIVE",ARCHIVE,"Superseded per decision 6 (CNF-06); preserved for later comparison",8ffbd02d7c39838896a04aeea708257ba6ce9f6bdfc94c0ecc5d92b2ba2f68ed,Yes,No,Yes
ITM-022,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/04_PLUMBING.md","04_SERVICE_KNOWLEDGE/ (package ID pending)",HOLD,"In scope per decision 5; folder-numbering convention not yet set",ee63740c3679e5e6ff5256b6983f4d27936a1db32f6d21b53c0ea4849a613417,No,Unknown,Yes
ITM-023,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/05_ELECTRICAL_MAINTENANCE.md","04_SERVICE_KNOWLEDGE/ (package ID pending)",HOLD,"In scope per decision 5; folder-numbering convention not yet set",960a82a299a1282f66c5038159c3594e2b5bb802792b6a26d82ce68594698737,No,Unknown,Yes
ITM-024,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/06_PAINTING_SERVICES.md","04_SERVICE_KNOWLEDGE/ (package ID pending)",HOLD,"In scope per decision 5; folder-numbering convention not yet set",c857fc47c884d13e446fd027d71387fc304c537982fb0c7b6805faf99e292845,No,Unknown,Yes
ITM-025,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/07_HANDYMAN_SERVICES.md","04_SERVICE_KNOWLEDGE/ (package ID pending)",HOLD,"In scope per decision 5; folder-numbering convention not yet set",15b95cafce4157e49e39e54015a98547e9e9cf9bc5265ef12df73e91faf1a5dd,No,Unknown,Yes
ITM-026,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/08_WATER_TANK_CLEANING.md","04_SERVICE_KNOWLEDGE/ (package ID pending)",HOLD,"In scope per decision 5; folder-numbering convention not yet set",ed3dea52f14b95d4a024055d781d28deb16c24c21dd54d1a172817f2811994fe,No,Unknown,Yes
ITM-027,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/09_SERVICE_PACKAGES.md","06_CUSTOMER_AND_SALES/PRICING/ (candidate)",HOLD,"Cross-cutting sales content; per-file placement not yet approved",ba2b19d2e670f1e7178a0244f777aba145354a3d7bfc08f9b39fb75b428d6ec2,No,Unknown,Yes
ITM-028,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/10_ANNUAL_MAINTENANCE_CONTRACTS.md","06_CUSTOMER_AND_SALES/PRICING/ (candidate)",HOLD,"Cross-cutting sales content; per-file placement not yet approved",596d99f77022039a885f91124af87ac4318d910d3ff10adef52453490862f122,No,Unknown,Yes
ITM-029,"00_START/01_BUSINESS/02_BRAND/03_MARKET_RESEARCH/04_SERVICES/11_EMERGENCY_SERVICES.md","04_SERVICE_KNOWLEDGE/ or 05_OPERATIONS/ (candidate)",HOLD,"Placement ambiguous; not yet approved",8d956b6591724ad22dc55ef5278bcb5f35a9659e13385218e26df50146df12ab,No,Unknown,Yes
